ville,cp,population,distance_km,reseau_plus_proche,agence_plus_proche,nb_agences_a_20km
Yerres,91330,27906,8.2,TransakAuto,Agence THIAIS,10
Illkirch-Graffenstaden,67400,27872,4.7,Simplicicar,strasbourg,3
Sucy-en-Brie,94370,27764,5.3,TransakAuto,Agence SAINT MAUR,11
Rambouillet,78120,27724,3.7,TransakAuto,Agence RAMBOUILLET,1
Gonesse,95500,27707,11.0,TransakAuto,Agence ENGHIEN-LES-BAINS,8
Blagnac,31700,27604,5.1,Simplicicar,toulouse-nord,7
Taverny,95150,27593,7.1,AgenceAuto,la-croix-verte,7
La Teste-de-Buch,33115,27566,12.6,TransakAuto,Agence ARCACHON,1
Bussy-Saint-Georges,77600,27498,6.9,AgenceAuto,chessy,8
Champs-sur-Marne,77420,27451,4.1,TransakAuto,Agence CHELLES,8
Limeil-Brévannes,94450,27406,6.3,TransakAuto,Agence SAINT MAUR,12
Cormeilles-en-Parisis,95240,27292,2.1,TransakAuto,Agence SARTROUVILLE,10
Bergerac,24100,27110,4.7,TransakAuto,Agence BERGERAC,1
Sens,89100,27106,1.5,TransakAuto,Agence SENS,1
Lambersart,59130,27090,2.9,Simplicicar,lille,6
Armentières,59280,26998,12.4,TransakAuto,Agence LILLE,6
Gradignan,33170,26952,7.3,TransakAuto,Agence CADAUJAC,6
Villeparisis,77270,26946,6.8,TransakAuto,Agence CHELLES,7
Sannois,95110,26924,4.5,TransakAuto,Agence ENGHIEN-LES-BAINS,10
Étampes,91150,26857,3.5,TransakAuto,Agence ETAMPES,1
Grigny,91350,26842,5.6,AgenceAuto,athis-mons,7
Cenon,33150,26834,6.9,AgenceAuto,bordeaux-rive-droite,6
Brétigny-sur-Orge,91220,26658,12.4,AgenceAuto,athis-mons,6
Lunel,34400,26623,6.3,TransakAuto,Agence LUNEL,3
La Garde,83130,26476,13.8,TransakAuto,Agence TOULON,1
Élancourt,78990,26365,5.4,TransakAuto,Agence LES CLAYES SOUS BOIS,3
Saumur,49400,26241,4.7,TransakAuto,Agence SAUMUR,1
Vertou,44120,26227,7.4,AgenceAuto,nantes-sud-est,2
Eaubonne,95600,26211,3.5,TransakAuto,Agence ENGHIEN-LES-BAINS,8
Biarritz,64200,26206,2.9,AgenceAuto,biarritz-bab,4
Miramas,13140,26203,8.1,Simplicicar,salon,1
Muret,31600,26079,6.5,TransakAuto,Agence EAUNES,4
Castelnau-le-Lez,34170,26058,6.4,AgenceAuto,montpellier-est,4
Villeneuve-la-Garenne,92390,26021,3.7,TransakAuto,Agence ENGHIEN-LES-BAINS,10
Les Ulis,91940,25886,6.2,AgenceAuto,palaiseau,5
Les Pavillons-sous-Bois,93320,25804,1.9,TransakAuto,Agence LE RAINCY,8
Sèvremoine,49230,25797,15.0,TransakAuto,Agence CHOLET,1
Le Grand-Quevilly,76120,25789,8.6,TransakAuto,Agence ROUEN,2
Lormont,33310,25769,4.8,AgenceAuto,bordeaux-rive-droite,6
Hénin-Beaumont,62110,25688,7.8,TransakAuto,Agence DOUAI,6
Brunoy,91800,25643,8.3,TransakAuto,Agence BRIE-COMTE-ROBERT,9
Cavaillon,84300,25636,8.1,TransakAuto,Agence L&rsquo;ISLE SUR LA SORGUE,2
Saint-Ouen-l'Aumône,95310,25578,2.6,TransakAuto,Agence CERGY,7
Sainte-Suzanne,97441,25551,7.0,TransakAuto,"Agence SAINT-ANDRE, REUNION",2
Alençon,61000,25490,1.2,TransakAuto,Agence ALENCON,1
Saintes,17100,25363,1.5,TransakAuto,Agence SAINTES,1
Vernon,27200,25290,1.1,Simplicicar,vernon,3
Béthune,62400,25224,6.1,TransakAuto,Agence BETHUNE,2
Vichy,03200,25115,1.1,Simplicicar,vichy,1
Le Bouscat,33110,25081,1.1,TransakAuto,Agence LAON,6
Libourne,33500,25036,0.8,TransakAuto,Agence LIBOURNE,1
Eysines,33320,24825,1.7,TransakAuto,Agence BORDEAUX EYSINES,6
Montbéliard,25200,24672,4.2,AgenceAuto,montbeliard,4
Orly,94310,24658,1.0,TransakAuto,Agence THIAIS,12
Frontignan,34110,24136,6.1,TransakAuto,Agence SETE,4
Le Kremlin-Bicêtre,94270,24110,5.9,Simplicicar,paris-15,12
Couëron,44220,24103,7.6,TransakAuto,Agence NANTES NORD,1
Fontenay-aux-Roses,92260,24070,6.4,Simplicicar,paris-15,12
Montgeron,91230,24022,7.6,TransakAuto,Agence THIAIS,8
Rodez,12000,23981,1.5,AgenceAuto,rodez,3
Les Lilas,93260,23843,4.2,TransakAuto,Agence VINCENNES,10
Dole,39100,23840,1.3,AgenceAuto,dole,1
La Valette-du-Var,83160,23719,11.9,TransakAuto,Agence TOULON,1
Dammarie-les-Lys,77190,23559,12.3,TransakAuto,Agence LIEUSAINT,1
Olivet,45160,23507,3.6,Simplicicar,orleans,3
Hérouville-Saint-Clair,14200,23470,3.8,TransakAuto,Agence CAEN,1
Combs-la-Ville,77380,23350,4.7,TransakAuto,Agence LIEUSAINT,6
Lanester,56600,23263,4.1,TransakAuto,Agence LORIENT,2
Roissy-en-Brie,77680,23229,7.9,AgenceAuto,gretz-armainvilliers,7
Tassin-la-Demi-Lune,69160,23200,4.6,TransakAuto,Agence LYON OUEST,9
Saint-Jean-de-Braye,45800,23147,2.9,TransakAuto,Agence ORLEANS,3
Deuil-la-Barre,95170,23099,1.2,TransakAuto,Agence ENGHIEN-LES-BAINS,9
Maisons-Laffitte,78600,23093,2.9,TransakAuto,Agence SARTROUVILLE,11
Vélizy-Villacoublay,78140,23011,3.0,AgenceAuto,viroflay,10
Challans,85300,22943,0.3,TransakAuto,Agence CHALLANS,1
Torcy,77200,22810,3.3,TransakAuto,Agence CHELLES,8
Saint-Louis,68300,22805,2.3,AgenceAuto,saint-louis,2
Manosque,04100,22718,1.9,TransakAuto,Agence MANOSQUE,1
Loos,59120,22567,5.0,AgenceAuto,lille-seclin,6
Gif-sur-Yvette,91190,22544,9.2,AgenceAuto,palaiseau,6
