ville,cp,population,distance_km,reseau_plus_proche,agence_plus_proche,nb_agences_a_20km
Champenard,27600,294,10.5,Simplicicar,vernon,3
Torfou,91730,294,10.8,TransakAuto,Agence ETAMPES,1
Velleminfroy,70240,294,11.9,AgenceAuto,vesoul,1
Les Authieux,27220,294,12.5,TransakAuto,Agence EVREUX,3
Colombier,42220,294,13.2,TransakAuto,Agence DAVEZIEUX,2
Saint-Abit,64800,294,15.5,TransakAuto,Agence PAU,2
Sains-lès-Pernes,62550,294,16.3,TransakAuto,Agence BETHUNE,1
Aspin-en-Lavedan,65100,294,17.7,TransakAuto,Agence TARBES,1
Lissac,43350,294,18.3,Simplicicar,puy-en-velay,1
Cassagnes,66720,294,19.1,TransakAuto,Agence PERPIGNAN NORD SAINT ESTEVE,1
Vieux-lès-Asfeld,08190,294,19.3,TransakAuto,Agence REIMS,1
Sénac,65140,294,19.4,TransakAuto,Agence TARBES,1
Saint-Vincent-le-Paluel,24200,293,3.4,TransakAuto,Agence SARLAT,1
Haute-Isle,95780,293,4.2,AgenceAuto,vernon,4
Menotey,39290,293,9.3,AgenceAuto,dole,1
Chérisy,62128,293,9.9,TransakAuto,Agence ARRAS,3
Saint-Pierre-du-Jonquet,14670,293,10.9,TransakAuto,Agence CAEN,1
Saint-Pierre,51510,293,11.2,AgenceAuto,chalons-en-champagne,1
Ville-sur-Yron,54800,293,12.4,TransakAuto,Agence SAINT-DIZIER,1
Oudeuil,60860,293,13.2,TransakAuto,Agence BEAUVAIS,2
Larroque,31580,293,13.7,Simplicicar,https://www.simplicicar.com/content/170-oncession-st-gaudens,1
Saint-Félix-de-Foncaude,33540,293,14.2,TransakAuto,Agence LANGON,1
Peseux,39120,293,14.4,AgenceAuto,dole,1
Cardesse,64360,293,14.8,TransakAuto,Agence PAU,1
Belmont-sur-Buttant,88600,293,16.8,AgenceAuto,saint-die-des-vosges,1
Riverie,69440,293,16.8,Simplicicar,lyon-ouest,1
Le Saulcy,88210,293,18.5,AgenceAuto,saint-die-des-vosges,1
Troisvaux,62130,293,19.1,TransakAuto,Agence BETHUNE,1
Charonville,28120,293,19.4,TransakAuto,Agence CHARTRES,1
Chauffours,28120,292,9.4,TransakAuto,Agence CHARTRES,1
Les Plans,30340,292,13.6,TransakAuto,Agence ALES,1
Deycimont,88600,292,14.3,AgenceAuto,epinal,2
Quercamps,62380,292,15.6,Simplicicar,saint-omer,1
Grandcourt,76660,292,17.6,TransakAuto,"Agence MONS, BELGIQUE",1
Lasserre-de-Prouille,11270,292,18.7,TransakAuto,Agence CARCASSONNE,2
Éply,54610,291,4.9,TransakAuto,Agence METZ,1
Charmentray,77410,291,6.0,TransakAuto,Agence MEAUX,4
Lépine,62170,291,6.0,TransakAuto,Agence LE TOUQUET,1
Le Plessis-l'Évêque,77165,291,8.2,TransakAuto,Agence MEAUX,4
Anvéville,76560,291,9.1,TransakAuto,Agence YVETOT,2
Pontcey,70360,291,10.4,AgenceAuto,vesoul,1
Ourches,26120,291,10.8,TransakAuto,Agence VALENCE,2
Osmoy,18390,291,12.6,TransakAuto,Agence BOURGES,1
Balaiseaux,39120,291,13.4,AgenceAuto,dole,1
Dompierre-les-Tilleuls,25560,291,13.9,Simplicicar,pontarlier,2
Thibie,51510,291,14.4,AgenceAuto,chalons-en-champagne,1
Saint-Léon,33670,291,16.3,TransakAuto,Agence LIBOURNE,1
Lutter,68480,291,17.2,TransakAuto,Agence SAINT-LOUIS,2
Ernemont-sur-Buchy,76750,291,19.6,TransakAuto,Agence ROUEN,1
Merschweiller,57480,290,4.4,TransakAuto,"Agence BRUXELLES, BELGIQUE",2
Sannes,84240,290,9.0,TransakAuto,Agence PERTUIS,3
Pontru,02490,290,10.6,AgenceAuto,saint-quentin,2
Saint-Bénézet,30350,290,11.3,TransakAuto,Agence ALES,1
Auxey-Duresses,21190,290,11.5,Simplicicar,beaune,1
La Tranclière,01160,290,13.3,AgenceAuto,bourg-en-bresse,2
Ligneyrac,19500,290,14.4,TransakAuto,Agence BRIVE-LA-GAILLARDE,2
Labéjan,32300,290,14.8,TransakAuto,Agence AUCH,1
Pasques,21370,290,16.7,AgenceAuto,dijon,3
Saint-Ouen-Marchefroy,28260,290,17.3,TransakAuto,Agence DREUX,2
Vernoux,01560,290,18.4,AgenceAuto,louhans,1
Saint-Léger-sous-la-Bussière,71520,290,18.9,TransakAuto,Agence MACON,1
Banvillars,90800,289,3.4,AgenceAuto,hericourt,4
Saint-Aubin,62170,289,5.3,TransakAuto,Agence LE TOUQUET,1
Valserres,05130,289,8.2,TransakAuto,Agence GAP,1
Vichères,28480,289,9.7,AgenceAuto,nogent-le-rotrou,1
Dimont,59216,289,11.5,TransakAuto,Agence MAUBEUGE,1
Moyenneville,62121,289,12.4,TransakAuto,Agence ARRAS,2
Jongieux,73170,289,16.3,TransakAuto,Agence CHAMBERY,2
Aigny,51150,289,16.8,AgenceAuto,chalons-en-champagne,1
Lacquy,40120,289,17.5,TransakAuto,Agence MONT DE MARSAN,1
Cléron,25330,289,18.5,Simplicicar,caen,2
Le Mesnil-Amey,50570,288,9.1,TransakAuto,Agence SAINT-LO,1
Juvigny,02880,288,9.1,Simplicicar,soissons,1
Nevy-lès-Dole,39380,288,9.6,AgenceAuto,dole,1
Halstroff,57480,288,10.7,TransakAuto,"Agence BRUXELLES, BELGIQUE",1
Charentenay,89580,288,11.2,TransakAuto,Agence AUXERRE,1
Miossens-Lanusse,64450,288,13.0,Simplicicar,pau,2
Hendecourt-lès-Cagnicourt,62182,288,13.4,TransakAuto,Agence ARRAS,3
Beleymas,24140,288,15.5,TransakAuto,Agence BERGERAC,1
Hestrud,59740,288,15.9,TransakAuto,Agence MAUBEUGE,1
Cernoy,60190,288,17.6,TransakAuto,Agence COMPIEGNE,2
Grangues,14160,288,17.8,TransakAuto,Agence CAEN,2
Venouse,89230,288,19.0,TransakAuto,Agence AUXERRE,1
Lahosse,40250,288,19.6,TransakAuto,Agence DAX,1
Maxou,46090,287,8.0,TransakAuto,Agence CAHORS,1
Sallenelles,14121,287,8.4,TransakAuto,Agence CAEN,1
Dommiers,02600,287,11.0,Simplicicar,soissons,1
Estrées-sur-Noye,80250,287,11.9,AgenceAuto,amiens,2
Adinfer,62116,287,13.0,TransakAuto,Agence ARRAS,2
Siradan,65370,287,13.4,Simplicicar,https://www.simplicicar.com/content/170-oncession-st-gaudens,1
Saint-Georges-sur-l'Aa,59820,287,14.7,TransakAuto,Agence DUNKERQUE,3
Auxelles-Haut,90200,287,16.8,AgenceAuto,belfort,2
Lajoux,01410,287,17.5,TransakAuto,Agence GEX,2
Senargent-Mignafans,70110,287,18.0,AgenceAuto,hericourt,1
Domléger-Longvillers,80370,287,18.1,TransakAuto,Agence ABBEVILLE,1
Mersuay,70160,287,18.5,AgenceAuto,vesoul,1
Baugy,60113,286,5.4,TransakAuto,Agence COMPIEGNE,2
Bey,01290,286,5.8,TransakAuto,Agence MACON,1
Durcet,61100,286,9.9,TransakAuto,Agence FLERS,1
Thiancourt,90100,286,12.8,AgenceAuto,montbeliard,4
Velaine-sous-Amance,54280,286,13.0,AgenceAuto,nancy,3
Saint-Gilles,71510,286,14.1,TransakAuto,Agence CHALON-SUR-SAONE,1
Magny,68210,286,14.2,AgenceAuto,belfort,1
Douchy-lès-Ayette,62116,286,14.6,TransakAuto,Agence ARRAS,2
Caucalières,81200,286,15.1,TransakAuto,Agence CASTRES,1
Scey-Maisières,25290,286,16.2,TransakAuto,Agence BESANCON,3
Bihucourt,62121,286,18.1,TransakAuto,Agence ARRAS,2
Lucey,73170,286,19.1,TransakAuto,Agence CHAMBERY,2
Saint-Mayme-de-Péreyrol,24380,286,19.7,TransakAuto,Agence PERIGUEUX,1
Grimbosq,14220,286,19.9,TransakAuto,Agence CAEN,1
Vincelottes,89290,285,4.7,TransakAuto,Agence AUXERRE,1
Boinville-en-Mantois,78930,285,6.0,AgenceAuto,epone,3
Le Vernois,39210,285,6.3,TransakAuto,Agence LONS LE SAUNIER,2
Colombier,24560,285,7.7,TransakAuto,Agence BERGERAC,1
Hurbache,88210,285,9.5,AgenceAuto,saint-die-des-vosges,1
Saint-Nicolas-des-Bois,61250,285,9.8,TransakAuto,Agence ALENCON,1
Routes,76560,285,11.9,AgenceAuto,yerville,2
Rocques,14100,285,13.2,TransakAuto,Agence DEAUVILLE,1
Pichanges,21120,285,13.2,AgenceAuto,dijon,3
Omonville,76730,285,14.5,TransakAuto,Agence DIEPPE,2
Hotot-en-Auge,14430,285,14.7,TransakAuto,Agence CAEN,1
Augea,39190,285,15.1,AgenceAuto,louhans,3
Doucier,39130,285,15.6,TransakAuto,Agence LONS LE SAUNIER,2
Rouède,31160,285,16.9,Simplicicar,https://www.simplicicar.com/content/170-oncession-st-gaudens,1
Valojoulx,24290,285,17.8,TransakAuto,Agence SARLAT,1
Saint-Paul-le-Gaultier,72130,285,18.2,TransakAuto,Agence ALENCON,1
Paris-l'Hôpital,71150,285,18.2,TransakAuto,Agence CHALON-SUR-SAONE,1
Maisoncelle-Tuilerie,60480,285,18.4,TransakAuto,Agence BEAUVAIS,1
Ruyaulcourt,62124,285,18.6,TransakAuto,Agence CAMBRAI,1
Pissy,80540,284,7.8,AgenceAuto,amiens,2
Higuères-Souye,64160,284,10.7,Simplicicar,pau,2
Saint-Hippolyte-de-Caton,30360,284,10.9,TransakAuto,Agence ALES,1
Reichsfeld,67140,284,11.8,AgenceAuto,selestat,1
Buissy,62860,284,15.1,TransakAuto,Agence CAMBRAI,4
Les Grandes-Loges,51400,284,15.4,AgenceAuto,chalons-en-champagne,1
Saint-Ange-et-Torçay,28170,284,15.9,TransakAuto,Agence DREUX,1
La Rochepot,21340,284,16.1,Simplicicar,beaune,1
Bézu-la-Forêt,27480,284,16.8,TransakAuto,Agence GISORS,1
Charleville-sous-Bois,57220,284,18.3,AgenceAuto,metz,1
Lagraulet-Saint-Nicolas,31480,284,18.5,TransakAuto,Agence FRONTON,1
Heurteauville,76940,284,18.9,TransakAuto,Agence YVETOT,1
Bonnevaux,74360,284,19.0,TransakAuto,Agence THONON-LES-BAINS,1
Villars-Saint-Georges,25410,283,7.3,Simplicicar,besancon,3
Saint-Amadou,09100,283,8.3,Simplicicar,pamiers,1
Saint-Jure,57420,283,8.6,TransakAuto,Agence METZ,1
Obrechies,59680,283,9.2,TransakAuto,Agence MAUBEUGE,1
Bagas,33190,283,9.4,TransakAuto,Agence LANGON,1
Théméricourt,95450,283,10.4,AgenceAuto,cergy-pontoise,6
Madière,09100,283,11.3,Simplicicar,pamiers,1
Larnas,07220,283,13.0,TransakAuto,Agence MONTELIMAR,2
Saint-Lucien,28210,283,14.2,TransakAuto,Agence RAMBOUILLET,1
Wacquemoulin,60420,283,15.9,TransakAuto,Agence COMPIEGNE,2
Marenla,62990,283,15.9,TransakAuto,Agence LE TOUQUET,1
Aubarède,65350,283,17.3,TransakAuto,Agence TARBES,1
Noyelles-sur-Sambre,59550,283,17.4,TransakAuto,Agence MAUBEUGE,1
Blandainville,28120,283,17.5,TransakAuto,Agence CHARTRES,1
Cormost,10800,283,17.8,AgenceAuto,troyes,1
Mazerulles,54280,283,18.4,AgenceAuto,nancy,2
Sainte-Cécile,71250,283,19.1,TransakAuto,Agence MACON,1
Les Voivres,88240,283,19.1,AgenceAuto,epinal,1
Dieffenthal,67650,282,5.5,AgenceAuto,selestat,1
Abbans-Dessus,25440,282,8.1,Simplicicar,besancon,4
Villeperrot,89140,282,8.5,TransakAuto,Agence SENS,1
Bernac-Dessus,65360,282,9.2,TransakAuto,Agence TARBES,1
Tugny-et-Pont,02640,282,11.0,AgenceAuto,saint-quentin,2
Saint-Vincent-d'Autéjac,82300,282,11.8,AgenceAuto,montauban,1
Dénestanville,76590,282,12.2,TransakAuto,Agence DIEPPE,1
Saint-Ouen-le-Mauger,76730,282,12.5,AgenceAuto,yerville,2
Larivière,90150,282,12.6,AgenceAuto,belfort,1
Orrouer,28190,282,13.2,TransakAuto,Agence CHARTRES,1
Champfrémont,53370,282,13.4,TransakAuto,Agence ALENCON,1
Saint-Genest-de-Contest,81440,282,14.9,TransakAuto,Agence ALBI,1
Chennevières-lès-Louvres,95380,282,15.5,TransakAuto,Agence DAMMARTIN EN GOELE,5
Le Mesnil-Villement,14690,282,16.7,TransakAuto,Agence FLERS,1
Nizerolles,03250,282,16.9,Simplicicar,vichy,1
Champvoux,58400,282,17.3,AgenceAuto,nevers,1
Autrechêne,90140,281,8.1,AgenceAuto,belfort,3
Drincham,59630,281,9.6,TransakAuto,Agence DUNKERQUE,4
Handschuheim,67117,281,11.5,AgenceAuto,strasbourg-nord,3
Beaumotte-lès-Pin,70150,281,12.0,AgenceAuto,besancon-valentin,4
Mary,71300,281,12.9,AgenceAuto,montceau-les-mines,1
Buswiller,67350,281,13.4,TransakAuto,Agence HAGUENAU,1
Fresnay-le-Comte,28360,281,13.6,TransakAuto,Agence CHARTRES,1
Médière,25250,281,14.0,TransakAuto,Agence MONTBELIARD,3
Épineuse,60190,281,15.9,AgenceAuto,senlis,5
Allainville,78660,281,17.9,TransakAuto,Agence ETAMPES,2
Le Pavillon-Sainte-Julie,10350,280,7.0,TransakAuto,Agence TROYES,3
Saint-Jean-le-Vieux,38420,280,7.3,TransakAuto,Agence GRENOBLE EST,3
Butot,76890,280,11.9,AgenceAuto,yerville,3
Pierregot,80260,280,12.6,TransakAuto,Agence AMIENS,2
Chérisey,57420,280,12.6,TransakAuto,Agence METZ,2
La Vernaz,74200,280,13.7,TransakAuto,Agence THONON-LES-BAINS,1
Huêtre,45520,280,14.5,TransakAuto,Agence ORLEANS,2
Neufvy-sur-Aronde,60190,280,14.6,TransakAuto,Agence COMPIEGNE,2
Langy,03150,280,15.2,Simplicicar,vichy,1
Castelnou,66300,280,16.2,TransakAuto,Agence PERPIGNAN NORD SAINT ESTEVE,1
Escondeaux,65140,280,16.3,TransakAuto,Agence TARBES,1
Maison-Ponthieu,80150,280,17.4,TransakAuto,Agence ABBEVILLE,1
Loupiac,46350,280,19.1,TransakAuto,Agence SARLAT,1
La Gimond,42140,279,10.3,Simplicicar,veauche,3
Saint-Félix,03260,279,10.3,Simplicicar,vichy,1
Roquebrune,33580,279,10.8,TransakAuto,Agence LANGON,1
Jallerange,25170,279,11.2,Simplicicar,besancon,3
Bleigny-le-Carreau,89230,279,11.5,TransakAuto,Agence AUXERRE,1
Marest,62550,279,11.8,TransakAuto,Agence BETHUNE,1
Labastide-du-Vert,46150,279,13.4,TransakAuto,Agence CAHORS,1
Gonnelieu,59231,279,14.1,TransakAuto,Agence CAMBRAI,1
Ouzouer-des-Champs,45290,279,14.8,TransakAuto,Agence MONTARGIS,1
Aulnay-sur-Marne,51150,279,15.2,AgenceAuto,chalons-en-champagne,1
Pailly,89140,279,16.1,TransakAuto,Agence SENS,1
Berneuil,80620,279,16.2,TransakAuto,Agence AMIENS,1
Talcy,41370,279,19.5,TransakAuto,Agence BLOIS,1
Les Authieux-sur-Calonne,14130,278,5.4,TransakAuto,Agence DEAUVILLE,1
Cuq,47220,278,5.5,TransakAuto,Agence AGEN,1
Laumesfeld,57480,278,10.2,TransakAuto,"Agence BRUXELLES, BELGIQUE",1
Hédouville,95690,278,11.2,TransakAuto,Agence CERGY,4
Frédéric-Fontaine,70200,278,12.7,AgenceAuto,hericourt,2
Villiers-sur-Seine,77114,278,13.3,TransakAuto,Agence PROVINS,1
Beaucourt-sur-l'Hallue,80260,278,14.8,TransakAuto,Agence AMIENS,2
Viersat,23170,278,16.1,TransakAuto,Agence MONTLUCON,1
Cerisy-Buleux,80140,278,18.8,TransakAuto,Agence ABBEVILLE,1
Saint-Didier,39570,277,4.5,AgenceAuto,lons-le-saunier,2
Saint-Avit,81110,277,5.7,TransakAuto,Agence CASTRES,1
Publy,39570,277,8.1,TransakAuto,Agence LONS LE SAUNIER,2
Rousseloy,60660,277,8.2,Simplicicar,st-maximin,3
Vaucourtois,77580,277,8.8,TransakAuto,Agence MEAUX,2
Nampty,80160,277,8.9,AgenceAuto,amiens,2
Marson,51240,277,10.9,AgenceAuto,chalons-en-champagne,1
Échenoz-le-Sec,70000,277,10.9,AgenceAuto,vesoul,1
Rouvillers,60190,277,12.0,TransakAuto,Agence COMPIEGNE,2
Villery,10320,277,13.0,AgenceAuto,troyes,3
Perrouse,70190,277,13.4,TransakAuto,Agence BESANCON,2
Carbay,49420,277,13.4,TransakAuto,Agence CHATEAUBRIANT,1
Mailleroncourt-Charette,70240,277,13.7,AgenceAuto,vesoul,1
Chambérat,03370,277,14.7,TransakAuto,Agence MONTLUCON,1
Brienne-sur-Aisne,08190,277,15.2,TransakAuto,Agence REIMS,1
Elbach,68210,277,16.2,AgenceAuto,belfort,2
Saint-Sulpice-de-Pommiers,33540,277,16.8,TransakAuto,Agence LANGON,1
Fouleix,24380,277,17.0,TransakAuto,Agence BERGERAC,1
Saint-Polgues,42260,277,17.7,TransakAuto,Agence ROANNE,1
Morville,50700,277,19.2,TransakAuto,Agence CHERBOURG-EN-COTENTIN,1
Flesquières,59267,276,10.1,TransakAuto,Agence CAMBRAI,1
Charmoy,71710,276,10.1,AgenceAuto,montceau-les-mines,1
Sanssat,03150,276,12.4,Simplicicar,vichy,1
Neuilly-le-Bisson,61250,276,13.3,TransakAuto,Agence ALENCON,1
Villarzel-Cabardès,11600,276,15.2,Simplicicar,carcassonne,2
Fouillouse,05130,276,15.4,TransakAuto,Agence GAP,1
Bourville,76740,276,15.4,AgenceAuto,yerville,2
Courdimanche-sur-Essonne,91720,276,16.2,TransakAuto,Agence ETAMPES,1
Saint-Aubin,02300,276,19.5,Simplicicar,soissons,1
Saint-Denis-de-Vaux,71640,275,8.2,TransakAuto,Agence CHALON-SUR-SAONE,2
Émeringes,69840,275,9.2,TransakAuto,Agence MACON,1
Montjoyer,26230,275,10.3,TransakAuto,Agence MONTELIMAR,2
Roquefort,32390,275,11.2,TransakAuto,Agence AUCH,1
Montchauvet,78790,275,12.3,TransakAuto,Agence MANTES-LA-JOLIE,2
Dierrey-Saint-Julien,10190,275,12.6,TransakAuto,Agence TROYES,3
Gousse,40465,275,12.7,TransakAuto,Agence DAX,2
Birieux,01330,275,13.4,TransakAuto,Agence LYON EST,4
Thiouville,76450,275,13.5,TransakAuto,Agence YVETOT,2
Sérilhac,19190,275,15.3,Simplicicar,brive,3
Ratières,26330,275,16.9,TransakAuto,Agence ROMANS SUR ISERE,1
Saint-Georges-Blancaneix,24130,275,17.0,TransakAuto,Agence BERGERAC,1
Peyrouse,65270,275,17.8,TransakAuto,Agence TARBES,1
Pont-du-Navoy,39300,275,17.9,TransakAuto,Agence LONS LE SAUNIER,1
Appenai-sous-Bellême,61130,275,18.2,AgenceAuto,nogent-le-rotrou,1
Jouaville,54800,274,4.8,TransakAuto,Agence SAINT-DIZIER,2
Barie,33190,274,7.3,TransakAuto,Agence LANGON,1
Boncourt,28260,274,12.9,TransakAuto,Agence DREUX,1
Casteide-Cami,64170,274,13.6,Simplicicar,pau,2
Santans,39380,274,13.8,AgenceAuto,dole,1
Niozelles,04300,274,14.2,TransakAuto,Agence MANOSQUE,1
Gardegan-et-Tourtirac,33350,274,16.3,TransakAuto,Agence LIBOURNE,1
Retschwiller,67250,274,17.2,TransakAuto,Agence HAGUENAU,1
Lapenche,82240,274,17.4,AgenceAuto,montauban,1
Les Iffs,35630,274,17.5,TransakAuto,Agence RENNES OUEST,2
Anguilcourt-le-Sart,02800,274,18.7,TransakAuto,Agence SAINT-QUENTIN,2
Serches,02220,273,8.0,Simplicicar,soissons,1
Espanès,31450,273,8.8,Simplicicar,toulouse-sud,4
Étobon,70400,273,9.8,AgenceAuto,hericourt,2
Fontaine-lès-Croisilles,62128,273,11.0,TransakAuto,Agence ARRAS,3
Montagne,38160,273,12.6,TransakAuto,Agence ROMANS SUR ISERE,1
Hohfrankenheim,67270,273,13.3,TransakAuto,Agence STRASBOURG NORD,3
Creyssensac-et-Pissot,24380,273,13.9,TransakAuto,Agence PERIGUEUX,1
Billième,73170,273,14.0,TransakAuto,Agence CHAMBERY,2
Ansacq,60250,273,14.5,Simplicicar,st-maximin,4
Beaupuy,82600,273,14.7,TransakAuto,Agence FRONTON,1
Romagny,68210,273,15.3,AgenceAuto,belfort,1
Mazirat,03420,273,16.1,TransakAuto,Agence MONTLUCON,1
La Compôte,73630,273,17.2,TransakAuto,Agence ALBERTVILLE,1
Chivres,21820,273,17.5,Simplicicar,beaune,1
Saint-Georges,82240,273,18.2,AgenceAuto,montauban,1
Molinons,89190,273,18.9,TransakAuto,Agence SENS,1
Antilly,60620,273,19.0,TransakAuto,Agence DAMMARTIN EN GOELE,1
Autrey,88700,273,19.5,AgenceAuto,saint-die-des-vosges,1
Vroncourt,54330,273,19.7,TransakAuto,Agence NANCY,1
Berhet,22140,272,6.3,TransakAuto,Agence BEGARD,2
Garancières-en-Drouais,28500,272,7.7,TransakAuto,Agence DREUX,1
Saint-Sulpice-de-Favières,91910,272,9.3,TransakAuto,Agence ETAMPES,1
Eguenigue,90150,272,9.4,AgenceAuto,belfort,2
Vaux-sur-Eure,27120,272,11.0,Simplicicar,evreux,3
Poudis,81700,272,12.8,TransakAuto,Agence CASTRES,1
Jugazan,33420,272,15.5,TransakAuto,Agence LIBOURNE,1
Montgey,81470,272,16.4,TransakAuto,Agence CASTRES,1
Cerneux,77320,272,17.0,TransakAuto,Agence PROVINS,1
Glanon,21250,272,17.9,Simplicicar,beaune,1
Soupir,02160,272,18.2,Simplicicar,soissons,1
Millemont,78940,272,18.3,AgenceAuto,epone,2
Villuis,77480,272,18.3,TransakAuto,Agence PROVINS,1
Moulins-sur-Ouanne,89130,272,19.4,TransakAuto,Agence AUXERRE,1
Dambenoît-lès-Colombe,70200,272,19.6,AgenceAuto,vesoul,1
Saint-Jean-Pierre-Fixte,28400,271,3.6,AgenceAuto,nogent-le-rotrou,1
Saint-Lary,32360,271,10.7,TransakAuto,Agence AUCH,1
Errevet,70400,271,11.0,AgenceAuto,belfort,2
Briconville,28300,271,11.3,TransakAuto,Agence CHARTRES,1
Beutal,25250,271,11.7,TransakAuto,Agence MONTBELIARD,3
Champigny-la-Futelaye,27220,271,13.3,TransakAuto,Agence DREUX,3
Litteau,14490,271,14.3,TransakAuto,Agence SAINT-LO,1
Le Hanouard,76450,271,14.8,TransakAuto,Agence YVETOT,2
Vincy-Manœuvre,77139,271,15.4,TransakAuto,Agence DAMMARTIN EN GOELE,2
Harquency,27700,271,17.1,Simplicicar,vernon,2
Françay,41190,271,17.9,TransakAuto,Agence BLOIS,1
Montabot,50410,271,18.4,TransakAuto,Agence SAINT-LO,1
Servilly,03120,271,19.4,Simplicicar,vichy,1
Écurcey,25150,270,5.3,TransakAuto,Agence MONTBELIARD,2
Gapennes,80150,270,9.7,TransakAuto,Agence ABBEVILLE,1
Goux-lès-Dambelin,25150,270,9.7,TransakAuto,Agence MONTBELIARD,2
Chaignes,27120,270,9.8,Simplicicar,vernon,4
Saint-Georges-de-Montclard,24140,270,10.2,TransakAuto,Agence BERGERAC,1
Anoux,54150,270,12.5,TransakAuto,Agence SAINT-DIZIER,1
Essertaux,80160,270,13.4,AgenceAuto,amiens,1
Logrian-Florian,30610,270,14.8,TransakAuto,Agence ALES,1
Amoncourt,70170,270,15.1,AgenceAuto,vesoul,1
Boncourt-le-Bois,21700,270,15.9,Simplicicar,beaune,1
Cayriech,82240,270,17.1,AgenceAuto,montauban,1
Famechon,80290,270,18.2,AgenceAuto,amiens,1
Bélesta,66720,270,19.2,TransakAuto,Agence PERPIGNAN NORD SAINT ESTEVE,1
Croix-Moligneaux,80400,270,19.5,AgenceAuto,saint-quentin,1
Berville-la-Campagne,27170,270,19.7,TransakAuto,Agence EVREUX,1
La Bazoque,61100,269,2.5,TransakAuto,Agence FLERS,1
Champagney,25170,269,3.8,AgenceAuto,besancon-valentin,4
Leulinghem,62500,269,6.4,Simplicicar,saint-omer,1
Éclaibes,59330,269,8.8,TransakAuto,Agence MAUBEUGE,1
Formentin,14340,269,10.0,TransakAuto,Agence DEAUVILLE,1
Cavigny,50620,269,10.5,TransakAuto,Agence SAINT-LO,1
Jagny-sous-Bois,95850,269,10.6,AgenceAuto,la-croix-verte,4
Orbessan,32260,269,12.3,TransakAuto,Agence AUCH,1
Saint-Micaud,71460,269,12.4,AgenceAuto,montceau-les-mines,1
La Chapelle-du-Mont-du-Chat,73370,269,13.0,TransakAuto,Agence CHAMBERY,2
Saint-André-la-Côte,69440,269,14.7,Simplicicar,lyon-ouest,2
Valonne,25190,269,14.8,TransakAuto,Agence MONTBELIARD,2
Séry-Magneval,60800,269,16.3,Simplicicar,compiegne,2
Marseillan,65350,269,16.3,TransakAuto,Agence TARBES,1
Sancourt,80400,269,17.9,AgenceAuto,saint-quentin,2
Fresnoy-le-Château,10270,269,18.1,AgenceAuto,troyes,1
Saint-Sigismond,45310,269,18.4,Simplicicar,orleans,1
Coussa,09120,268,4.0,Simplicicar,pamiers,1
Vernas,38460,268,5.8,TransakAuto,Agence ANTHON,4
Port-le-Grand,80132,268,6.2,TransakAuto,Agence ABBEVILLE,1
Hiis,65200,268,9.3,TransakAuto,Agence TARBES,1
Saint-Pierre,31590,268,10.1,AgenceAuto,toulouse-nord,4
Sarcy,51170,268,12.0,Simplicicar,reims,2
Reugney,25330,268,15.8,Simplicicar,pontarlier,2
Comberouger,82600,268,16.5,TransakAuto,Agence FRONTON,1
Aube,57580,268,17.1,AgenceAuto,metz,2
Fumichon,14590,268,17.6,TransakAuto,Agence DEAUVILLE,1
Les Brunels,11400,268,18.4,TransakAuto,Agence CASTRES,1
Forges-la-Forêt,35640,268,19.6,TransakAuto,Agence CHATEAUBRIANT,1
Loubens,09120,267,7.5,Simplicicar,pamiers,1
Domèvre-sur-Durbion,88330,267,11.4,TransakAuto,Agence EPINAL,2
Tarasteix,65320,267,12.4,TransakAuto,Agence TARBES,1
Le Tilleul-Lambert,27110,267,18.8,TransakAuto,Agence EVREUX,2
Vomécourt,88700,267,19.6,TransakAuto,Agence EPINAL,1
Cier-de-Rivière,31510,266,4.6,Simplicicar,https://www.simplicicar.com/content/170-oncession-st-gaudens,1
Mazeley,88150,266,8.1,TransakAuto,Agence EPINAL,2
Berméricourt,51220,266,8.5,TransakAuto,Agence REIMS,2
Reugny,03190,266,10.6,TransakAuto,Agence MONTLUCON,1
Aubonne,25520,266,11.9,Simplicicar,pontarlier,2
Monteignet-sur-l'Andelot,03800,266,14.1,Simplicicar,vichy,1
Recques-sur-Course,62170,266,14.9,TransakAuto,Agence LE TOUQUET,1
Songy,51240,266,17.8,AgenceAuto,chalons-en-champagne,1
Magneux,51170,266,19.1,Simplicicar,reims,1
Remaucourt,02100,265,7.5,TransakAuto,Agence SAINT-QUENTIN,2
Aubin,64230,265,8.6,Simplicicar,pau,2
Francoulès,46090,265,10.1,TransakAuto,Agence CAHORS,1
Augers-en-Brie,77560,265,12.4,TransakAuto,Agence PROVINS,1
Arthies,95420,265,13.0,AgenceAuto,vernon,4
Saint-Just-en-Brie,77370,265,13.7,TransakAuto,Agence PROVINS,1
Tangry,62550,265,16.1,TransakAuto,Agence BETHUNE,1
Mouscardès,40290,265,16.3,TransakAuto,Agence DAX,1
Le Mesnil-sur-Bulles,60130,265,18.7,TransakAuto,Agence BEAUVAIS,2
Montcey,70000,264,6.2,AgenceAuto,vesoul,1
Yzeux,80310,264,9.5,TransakAuto,Agence AMIENS,2
Grassendorf,67350,264,9.9,TransakAuto,Agence HAGUENAU,2
Gayan,65320,264,10.1,TransakAuto,Agence TARBES,1
Saint-Mard-de-Vaux,71640,264,10.7,TransakAuto,Agence CHALON-SUR-SAONE,2
